family,candidate_id,reference_type,cutoff,engine_id,n_segments,n_runs,healthy_start_runs,middle_start_runs,near_failure_start_runs,max_run_length,has_run_ge_2,has_run_ge_3,has_run_ge_5,has_run_ge_10
iforest,iforest_n200_ms_0p5,pooled,0.975,78,1,14,8,6,0,39,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.975,81,1,7,1,6,0,66,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.975,89,1,7,3,4,0,40,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.975,91,1,11,1,10,0,54,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,1,1,5,0,5,0,34,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,5,1,13,6,7,0,63,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,10,1,8,3,5,0,41,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,11,1,7,4,3,0,54,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,13,1,3,0,3,0,50,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,16,1,15,4,11,0,82,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,27,1,6,0,6,0,42,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,31,1,3,0,3,0,39,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,34,1,6,0,6,0,57,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,40,1,9,0,9,0,73,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,41,1,12,3,9,0,45,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,45,1,10,3,7,0,32,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,46,1,6,3,3,0,41,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,54,1,4,0,4,0,60,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,74,1,4,0,3,1,31,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,77,1,12,1,11,0,35,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,78,1,10,5,5,0,37,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,81,1,7,1,6,0,52,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.99,89,1,6,3,3,0,37,True,True,True,True
